MaßnahmenDE,MaßnahmenEN_Text,MaßnahmenEN_Label
Geräuscharmer Betrieb,Quiet operations,quietOperations
Zeitliche Beschränkung für den Betrieb,Time restriction for operations,operatingTimeRestriction
Lärmschutzwände und Instandhaltung,Noise barriers and maintenance,noiseBarrier
Grüne Lärmschutzwände und Instandhaltung,Green noise barriers and maintenance,greenNoiseBarrier
Einhausungen,Enclosure in industry,enclosure
Schallschutzfenster,Window insulation,windowInsulation
Sonstige Maßnahmen zur Schalldämmung,Other insulation,otherInsulation
Flächennutzungsplanung/Bauleitplanung,Planning measures and ordinances between receivers and road sources,planningAndOrdinance
Lärmreduzierung für sensible Gebiete,Reduced noise for sensitive areas,sensitiveAreaPlanning
Abstandsflächen/Pufferzonen,Buffer zones,bufferZones
Verfügbarkeit von ruhigen Gebieten,Availability of quiet areas,quietArea
Verfügbarkeit von Grünflächen,Availability of green areas,greenArea
Maßnahmen zur Verbesserung des akustischen Raumes,Soundscape measures,soundscape
Standortwechsel von Industrieanlagen,Industry relocation,relocationIndustry
Schließung von Industrieanlagen,Closure of industry,closureIndustry
Vermittlung von Informationen,Information dissemination,informationDissemination
Beschwerdemanagement,Complaint management,complaintManagement
Bildungs- und Aufklärungsaktivitäten,Education and awareness raising activities,educationAwarenessActivities
