RS_VWG,AGS
031010000,03101000
031020000,03102000
031030000,03103000
031510009,03151009
031510025,03151025
031510040,03151040
031515401,03151002; 03151004; 03151014; 03151020; 03151030; 03151039
031515402,03151003; 03151005; 03151008; 03151021; 03151024; 03151031; 03151032
031515403,03151007; 03151011; 03151019; 03151028; 03151029
031515404,03151006; 03151013; 03151022; 03151037
031515405,03151012; 03151015; 03151017; 03151018
031515406,03151001; 03151016; 03151023; 03151027; 03151034; 03151041
031515407,03151010; 03151026; 03151033; 03151035; 03151036; 03151038
031519501,03151501
031530002,03153002
031530008,03153008
031530012,03153012
031530016,03153016
031530017,03153017
031530018,03153018
031530019,03153019
031539504,03153504
031540013,03154013
031540014,03154014
031540019,03154019
031540028,03154028
031545401,03154008; 03154015; 03154016; 03154018
031545402,03154002; 03154006; 03154012; 03154027
031545403,03154005; 03154017; 03154021; 03154022; 03154025; 03154026
031545404,03154001; 03154004; 03154007; 03154009; 03154024
031549501,03154501
031549502,03154502
031549503,03154503
031549504,03154504
031549506,03154506
031550001,03155001
031550002,03155002
031550003,03155003
031550005,03155005
031550006,03155006
031550007,03155007
031550009,03155009
031550010,03155010
031550011,03155011
031550012,03155012
031550013,03155013
031559501,03155501
031570001,03157001
031570002,03157002
031570005,03157005
031570006,03157006
031570007,03157007
031570008,03157008
031570009,03157009
031580006,03158006
031580037,03158037
031580039,03158039
031585402,03158002; 03158004; 03158011; 03158016; 03158018; 03158028
031585403,03158005; 03158010; 03158014; 03158019; 03158023; 03158038
031585406,03158009; 03158012; 03158013; 03158030; 03158033
031585407,03158007; 03158008; 03158017; 03158021; 03158022; 03158025; 03158027; 03158031; 03158032; 03158035; 03158036; 03158040
031589501,03158501
031589502,03158502
031589503,03158503
031590001,03159001
031590002,03159002
031590003,03159003
031590004,03159004
031590007,03159007
031590010,03159010
031590013,03159013
031590015,03159015
031590016,03159016
031590017,03159017
031590019,03159019
031590026,03159026
031590029,03159029
031590034,03159034
031590036,03159036
031595401,03159008; 03159009; 03159021; 03159024; 03159031
